producto_id;tipo_parte_libro_id;pais_edicion_id;editorial;isbn;titulo_libro;pagina_inicial;pagina_final
138723;1;37;EDITIONS CLASSIQUES GARNIER;978-2-8124-3201-9;Entre critique et théorie, un autre regard sur la littérature;131;154
138823;1;7;EL COLEGIO DE MEXICO;978-607-462-749-7;DOS GRANDES METROPOLIS LATINOAMERICANAS: CIUDAD DE MÉXICO Y BUENOS AIRES;129;157
138903;1;1;UNIVERSIDAD NACIONAL DE JUJUY;9789507215070;San Salvador de Jujuy: Territorios y sentidos de ciudad;33;50
138954;1;82;SPRINGER;978-1-4939-2577-3;Water Stress in Biological, Chemical, Pharmaceutical and Food Systems;361;366
139054;1;1;UNIVERSIDAD NACIONAL DE MAR DEL PLATA;978-987-544-462-1;Ingeniería de Productos Pesqueros;1;200
139145;1;7;CIESAS Y COLEGIO DE MICHOACÁN;978-607-9470-12-8;Entre la solemnidad y el regocijo. Fiestas, devociones y religiosidad en  Nueva España y el mundo hispánico.;345;374
139188;1;5;UNIVERSIDAD INTERNACIONAL SEK-CHILE;978-92-5-308558-3;Avances y desafíos metodológicos en Arqueobotánica: Miradas consensuadas y diálogos compartidos desde Sudamérica;301;324
139286;1;21;SPRINGER INTERNATIONAL PUBLISHING AG;978-3319148885;Water Stress in Biological, Chemical, Pharmaceutical and Food Systems.;477;484
139351;1;1;ARIEL;978-987-3804-10-6;Las guerras de la historia argentina;223;247
139365;1;7;COLMEX - EL COLEGIO DE MÉXICO;9786074627497;Dos grandes metrópolis latinoamericanas: Ciudad de México y Buenos Aires. Una perspectiva comparativa;238;275
139374;1;37;LE CASTOR ASTRAL;979-10-278-0009-4;Cahiers Georges Perec. Espèces d'espaces perecquiens;69;78
139481;1;1;EDICIONES DEL ICALA;978-987-1318-28-5;ÉTICA DEL DISCURSO. Teoría y praxis de la democracia deliberativa;258;263
139587;1;21;WILEY-LISS, DIV JOHN WILEY & SONS INC;978-1-118-66955-6;Surface Modification of Biopolymers;84;112
139605;1;43;EDIÇÕES HÚMUS;9789897550485;Digital Literacy, Technology and Social Inclusion: making sense of one-to-one computer programmes around the world;291;319
139703;1;31;SPRINGER-VERLAG;978-1-4939-2577-3;Water Stress in Biological, Chemical, Pharmaceutical and Food Systems;1;6
139709;1;21;SPRINGER;978-1-4939-2578-0;Water stress in biological, chemical, pharmaceutical and food systems;469;476
139710;1;21;SPRINGER;978-1-4939-2578-0;Water stress in biological, chemical, pharmaceutical and food systems;27;39
139726;1;1;UNIVERSIDAD DE TRES DE FEBRERO;978-987-1889-58-7;Trayectorias singulares, voces plurales. Intelectuales y política en la Argentina, siglos XIX-XX;229;255
139783;1;41;VATICANO;978-88-7761-105-5;Bread and Brain, Education and Poverty;37;68
139784;1;1;LUGAR EDITORIAL;978-950-892-498-8;Psicopedagogía, hacia una Integración entre Salud y Educación;1;14
