producto_id;tipo_parte_libro_id;pais_edicion_id;editorial;isbn;titulo_libro;pagina_inicial;pagina_final
138768;1;21;KENNETH TOBIN & WOLFF-MICHAEL ROTH. SENSE PUBLISHERS B.V;978-90-04-40854-8;Science Education Research in South and Latin America.;113;155
138769;1;21;KENNETH TOBIN & WOLFF-MICHAEL ROTH. SENSE PUBLISHERS B.V;978-90-04-40854-8;Science Education Research in South and Latin America.;1;15
138983;1;21;SPRINGER;978-1-4614-39998;Origins and Evolution of Cenozoic South American Mammals;;
139086;1;1;TESEO;978-987-1867-27-1;Salud, sociedad y derechos. Investigaciones y debates interdisciplinarios;315;338
139115;1;1;DEPARTAMENTO DE INGENIERÍA E INVESTIGACIONES TECNOLÓGICAS (DIIT);978-987-3806-01-8;Anuario investigaciones resúmenes extendidos 2012;179;184
139578;1;21;SPRINGER: VERTEBRATE PALEOBIOLOGY AND PALEOANTHROPOLOGY SERIES;0-226-64919-9;Origins and Evolution of Cenozoic South American Mammals;;
140780;1;1;ATLANTE;9509539473;Microbiologia Biomedica;23;30
141224;1;1;EUDEBA;978-950-23-2892-8;Lingüística de la documentación. Textos fundacionales y proyecciones;9;37
142689;1;35;EDITORIAL MÉDICA PANAMERICANA;978-84-9835-402-7;Inmunonutrición en la salud y la enfermedad, segunda edición.;;
153508;1;1;EDICIONES UNGS;978-987-630-408-5;Problemas socioeconómicos de la Argentina contemporánea. De la dictadura hasta nuestros días;381;402
155056;1;35;BETANIA;9788480173186;Conversaciones con Gastón Baquero;13;16
155447;1;1;CRUJÍA;978-987-4176-00-4;Hybris. Estudios interdisciplinarios sobre ambiente y producción de alimentos;11;44
158783;1;1;EDICIONES SUAREZ;978-987-544-463-8;Debates en Filosofía y Ciencia Política;183;204
162982;1;1;INTA;978-987-521-862-8;Metodología de muestreo de suelo y ensayos de campo: protocolos básicos comunes;1;160
163549;1;31;EDITORIAL ACADÉMICA ESPAÑOLA;978-3-659-01087-3;Genética y Conservación Animal. Desde la Citogenética una aporte a la conservación de los primates neotropicales?;57;80
165994;1;35;GRÁFICAS ULZAMA;978-84-695-8554-2;Red de Vinculación Digital de la Patagonia Austral;177;191
168479;1;21;ELSEVIER;978-0-12-812102-3;The Autoimmune Diseases;1;20
168983;1;1;UNR EDITORA;978-950-673-875-4;Cuadernos de Metapsicologia;43;65
171278;1;9;UNIVERSIDAD PERUANA CAYETANO HEREDIA;978-612-4242-41-0;Bases de la Inmunología Clínica;275;299
171526;1;1;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE SALTA;0-0000-0000-0;Manual de nociones básicas para los estudios literarios;;
171527;1;1;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE SALTA;0-0000-0000-0;Manual de nociones básicas para los estudios literarios;;
175071;1;1;MIÑO Y DÁVILA;978-987-630-190-9;Tópicos de economia evolucionista.....;245;286
175587;1;1;UMAZA;978-987-702-082-3;Tratado de ciencias microscópicas en medicina veterinaria. Microbiología e inmunología veterinaria;4;546
175801;1;1;CEFIEC (CENTRO DE FORMACION E INVESTIGACIÓN EN ENSEÑANZA DE LAS CIENCIAS) UBA;978-950-43-6840-3;Propuestas didácticas para enseñar Ciencias Naturales y Matemática IV;4;28
175899;1;1;DE LA UNIVERSIDAD NACIONAL DE QUILMES;978-987-558-625-3;Instituciones y sujetos del cuidado: salud, educación, familias;167;183
176467;1;1;INTER-MÉDICA;978-950-555-474-4;Microbiología Veterinaria;850;857
177513;1;1;EL GALENO LIBROS EDITORIAL;978-987-4906-01-4;Patología Humana;71;90
178719;1;1;MIÑO Y DAVILA- UNGS;978-987-630-425-2;Tópicos de la economía evolucionista neoschumpeteriana de la innovación y el cambio tecnológico.Tomo II.;417;438
181226;1;1;FECIC;978-950-9149-40-3;El Deterioro del Suelo y del Ambiente en la República Argentina;175;185
183255;1;82;WILEY-BLACKWELL;978-1-118-60504-2;The Encyclopedia of Greek Comedy;764;765
183256;1;82;WILEY-BLACKWELL;978-1-118-60504-2;The Encyclopedia of Greek Comedy;675;676
183257;1;82;WILEY-BLACKWELL;978-1-118-60504-2;The Encyclopedia of Greek Comedy;419;420
184385;1;1;EDHASA;978-987-628-510-0;Infancias argentinas;36;39
184562;1;1;INTER-MÉDICA;978-950-555-474-4;Microbiología Veterinaria;122;138
184783;1;1;JUSBAIRES;978-987-768-107-9;20 Años del Centro de Formación Judicial;27;31
185836;1;1;INTERMEDICA;978-950-555-474-4;Microbiología Veterinaria;240;250
186015;1;1;UNIVERSIDAD NACIONAL DE LA MATANZA;978-987-4417-50-3;Manual para el Curso de Ingreso 2020.Ingeniería;135;304
186051;1;1;EDITORIAL AZARA;9789873781148;Arqueología y Paleontología de la Provincia de Catamarca;65;79
186499;1;1;RUBINZAL Y CULZONI;978-987-30-1404-8;Código Civil y Comercial Explicado;427;571
186910;1;21;HUMANA PRESS;978-1-58829 682-5;Bacteriophages Methods and Protocols;27;36
186911;1;21;HUMANA PRESS;978-1-4939-8940-9;Bacteriophages Methods and Protocols;69;80
187077;1;1;EDUNTREF;978-9871013579;Diccionario Histórico del Peronismo;;
