producto_id;pais_edicion_id;editorial;isbn
202447;1;ABELEDO PERROT;978-950-202864-4
203359;1;MARÍA MURATORE EDICIONES;978-987-45704-2-0
204265;1;EDICIONES INTA;978-987-1907-69-4
207371;1;PROMETEO;978-987-574-828-6
210402;1;EDICIONES UNL;978-987-749-058-9
213820;1;EDITORIAL DOCENCIA - FUNDACIÓN HERNANDARIAS;978-987-506-491-1
214622;7;FONTAMARA;978-607-736-431-3
324669;1;EDUPA;9789871937783
324675;1;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;978-950-658-459-7
324678;1;INVESTIGACIONES SOCIO HISTORICAS REGIONALES;978-987-25834-7-7
324680;1;IIGHI. CONICET, AGENCIA;978-987-4450-00-5
325084;1;EDIUNJU;978-950-721-527-8
325085;1;UNIRIO;978-987-688-240-8
325090;1;EUDEM-UNMDP;978-987-20329-7-5
325096;1;UNLAM;978-987-3806-75-9
325097;1;INSTITUTO NACIONAL DEL CÁNCER - MINISTERIO DE SALUD DE LA NACIÓN;978-987-3945-31-1
325099;1;MADITERRÁNEA;978-987-1537-59-4
325100;1;MADITERRÁNEA;978-987-1537-60-0
325101;1;LA LEY;978-987-03-3180-3
325102;1;LA LEY;978-987-03-3193-3
325103;1;LA LEY;978-987-03-3254-1
325104;1;ASTREA;978-987-706-186-4
325108;1;PRAIA;978-987-9287-88-0
325114;1;GONZALO SEMERIA;978-987-42-2943-4
325115;1;UNR EDITORA;978-987-702-235-3
325116;1;EDITORIAL UADER;978-950-9581-38-8
325117;1;UNIDAD DE PUBLICACIONES DEL DEPARTAMENTO DE CIENCIAS SOCIALES DE LA UNIVERSIDAD NACIONAL DE QUILMES;9789875584709
325118;1;SECRETARÍA DE AMBIENTE DE LA MUNICIPALIDAD DE CÓRDOBA SECRETARÍA DE EXTENSIÓN DE LA FACULTAD DE FILOSOFÍA Y HUMANIDADES UNC EDITORAS;978-950-33-1345-9
325119;45;SPRINGER;978-3-319-61668-1
325120;1;EDICON;978-987-46601-0-7
325121;1;FOJA CERO;978-987-4055-08-8
325127;1;EDIUNJU;978-950-721-529-2
325128;1;UNR EDITORA;978-987-702-249-0
325129;1;EDIUNC;978-950-39-0353-7
325131;1;EDICIÓN DE LOS AUTORES;978-950-658-435-1
325142;1;UNR EDITORA;978-987-702-242-1
325143;1;UNIVERSIDAD NACIONAL DE CATAMARCA;978-987-661-255-5
325144;1;UNCA;978-987-661-255-5
325145;1;UNIVERSIDAD NACIONAL DE QUILMES,;978-987- 558-4716
325159;35;ACADÉMICA ESPAÑOLA;9786202232760
325168;35;SOCIEDAD LATINA DE COMUNICACIÓN SOCIAL;978-84-16458-67-7
325169;1;UNIRÍO, UNIVERSIDAD NACIONAL DE RÍO CUARTO;978-987-688-242-2
325171;82;ARCHAEOPRESS;978 1 78491 608 4
325172;1;EDICIONES UNL;978-987-749-079-4
325173;1;IMAGO MUNDI;978-950-793-258-8
325176;514;EDUCA;978-987-620-341-8
325180;1;OCTUBRE;978-987-3957-22-2
325186;8;INVESTIGACIÓN PARA EL DESARROLLO;978-99967-865-4-9
325187;1;TESEO;978-987-42-6035-2
325188;1;BIBLOS;978-987-691-557-1
325191;1;UNSAM;978-987-4027-44-3
325204;1;MUNDO EDITORIAL;978-987-698-182-8
325205;1;CONICET - CONSEJO NACIONAL DE INVESTIGACIONES CIENTÍFICAS Y TÉCNICAS;978-950-692-146-0
325233;1;AKADIA;9789875703278
325241;21;PABLOLLEDO.COM;978-0-9864096-9-1
325242;31;LAP LAMBERT ACADEMIC PUBLISHING;978-3-330-05304-5
325247;1;AUTOR;978-987-42-3422-3
325249;1;EDICIONES INTA;978-987-521-826-0
325253;1;ALDINA;978-987-46259-3-9
325254;1;IMPRENTA INGRESO;978-987-3701-17-7
325256;31;EAE- EDITORIAL ACADÉMICA ESPAÑOLA;978-3-659-04158-7
325257;1;UNIVERSIDAD NACIONAL DEL LITORAL;978-987-749-077-0
325258;35;EDITORIAL UOC;9788491800033
325263;1;EUDEBA. COLECCIÓN ENSAYOS;978-950-23-2742-6
325264;1;SECRETARIA DE EXTENSIÓN FAUD UNMDP;978-987-544-768-4
325267;82;ROUTLEDGE;
325268;1;UNSAMEDITA;978-987-4027-55-9
325269;1;TESEO;9789502916569
325270;1;EDITORIAL DE LA PROVINCIA DE CÓRDOBA;978-987-29837-2-7
325273;1;LA LEY;978-987-03-3486-6
325276;1;UNIVERSIDAD NACIONAL DE QUILMES;0-0000-0000-0
325287;1;UNIVERSIDAD VIRTUAL DE QUILMES;978-987-3706-85-1
325288;1;EDICIÓN GRUPO DE ESTUDIOS SOBRE FRONTERAS Y REGIONES;978-987-42-5462-7
325289;7;EL COLEGIO DE LA FRONTERA NORTE;978-607-479-283-6
325292;1;BRUJAS;978-987-760-059-9
325299;1;BRUJAS;9789875918528
325302;1;EDITORIAL FACULTAD DE FILOSOFÍA Y HUMANIDADES;978-950-33-1329-9
325303;1;LA REFORMA;978-987-1914-32-6
325310;1;IMAGO MUNDI;978-950-793-265-6
325323;1;INTERCAMBIOS ASOCIACIÓN CIVIL Y FACULTAD DE CIENCIAS SOCIALES DE LA UNIVERSIDAD DE BUENOS AIRES;978-987-28608-5-1
325324;10;UNESCO;978-92-3-100216-8
325327;1;MOGLIA EDICIONES;978-987-619-275-0
325328;1;EDIUNJU;978-987-3926-33-4
325334;1;NUEVA LIBRERÍA;978-987-1871-48-3
325358;1;UNIVERSIDAD NACIONAL DEL LITORAL;978-987-692-136-7
325362;35;EDITORIAL ACADÉMICA ESPAÑOLA;978-620-2-24219-6
325368;1;CIG-FCH-UNICEN;9789506584399
325374;1;CONTEXTO;978-987-730-246-2
325376;31;EDITORIAL ACADÉMICA ESPAÑOLA;3639691458
325379;1;EDIUNJU;978-987-3926-29-7
325383;1;IEEE XPLORE;978-987-46297-1-5
325385;392;EDITORIAL ACADÉMICA ESPAÑOLA;978-620-2-24219-6
325386;1;EDITORIAL UNIVERSITARIA. UNAM;978-950-579-434-8
325389;1;MIÑO Y DÁVILA;978-84-16467-84-6
325392;1;EDUNLAM;978-987-4417-09-1
325404;1;FCH-UNICEN;978-950-658-439-9
325416;1;DUNKEN;978-987-02-9838-0
325420;1;TESEOPRESS Y FACULTAD DE CIENCIAS SOCIALES (UBA);978-950-291-651-4
325443;1;MIÑO Y DÁVILA EDITORES;978-84-16467-84-6
325444;1;EDITORIAL DE LA FACULTAD DE FILOSOFÍA Y LETRAS/UNIVERSIDAD DE BUENOS AIRES;978-987-4019-65-3
325449;1;MIÑO Y DÁVILA;9788492613564
325450;1;UNIVERSIDAD NACIONAL DE LA PLATA;978-950-34-1485-9
325451;1;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;978-950-658-438-2
325460;1;ASOCIACIÓN CIVIL RED PYMES MERCOSUR;978-987-3608-31-5
325465;1;LIBRERIA EL FORO;950-826-033-5
325466;31;EDITORIAL ACADÉMICA ESPAÑOLA;978-620-2-09711-6
325470;1;CENTRO DE INVESTIGACIÓN EN SANIDAD FORESTAL. FACULTAD DE CIENCIAS AGRARIAS.UNJU.;978-987-392-634-1
325471;1;THOMSON REUTERS LA LEY;978-987-033428-6
325505;1;CÍRCULO AZUL;978-987-46038-4-5
325506;1;TESEO;978-950-893-907-4
325511;1;ORIENTACIÓN GRÁFICA EDITORA Y UNIVESIDAD CATÓLICA DE CÓRDOBA. FACULTAD DE CIENCIAS AGROPECUARIAS;978-987-1922-23-9
325514;41;FAO UNITED NATIONS;978-92-5-130098-5
325524;1;EDUNLPAM;978-950-863-281-4
325526;1;IMAGO MUNDI;978-950-793-267-0
325528;1;AUNNOPENSE;0-8436-1072-7
325551;1;EDIUPSO;978-987-46769-0-0
325560;1;EDULP EDITORIAL DE LA UNIVERSIDAD NACIONAL DE LA PLATA;978-950-34-1510-8
325561;1;ICOMOS ARGENTINA;978-987-29432-5-7
325569;1;MUNICIPALIDAD DE NECOCHEA;978-987-24859-2-4
325572;1;MUNICIPALIDAD DE NECOCHEA;978-987-24859-2-4
325578;82;ARCHAEOPRESS;9781784916084
325579;35;EL PORTAL DEL HISPANISMO;978-620-2-23740-6
325582;1;TESEO;978-987-723-131-1
325588;1;UNIVERSIDAD NACIONAL DE CÓRDOBA;978-987-707-063-7
325591;1;MFBQF EDICIONES;978-987-26706-4-1
325598;1;MFBQF EDICIONES;978-987-26706-4-1
325599;1;TESEO-UNIVERSIDAD DE SAN ANDRÉS;9789877231267
325600;1;EDIUNC;978-950-39-0352-0
325608;1;MINISTERIO DE SALUD DE LA PROVINCIA DE BUENOS AIRES;978-987-46595-0-7
325628;1;UNSTA;9789871662838
325630;1;NUBE NEGRA;978-987-46651-4-0
325633;1;UNIVERSIDAD CAECE;978-987-46267-38
325635;1;FAMAF-UNC;978-950-33-1377-0
325640;1;DEL CASTILLO;978-987-1644-35-3
325653;1;BITÁCORA;978-987-46248-64
325654;1;LUXEMBURG;978-987-1709-48-9
325656;1;EDICIONES UNGS;978-987-630-319-4
