producto_id;pais_edicion_id;editorial;isbn
201241;1;SIMA EDITORA;978-987-1930-18-0
201244;1;HANNE;9789874073167
201250;1;EDULP;978-950-34-1255-8
201309;1;FACULTAD DE DERECHO Y CIENCIAS SOCIALES DEL ROSARIO;978-987-28706-2-1
201313;1;EDULP;978-950-34-1181-0
201315;1;UNIVERSIDAD NACIONAL DE MAR DEL PLATA;978-987-544-632-8
201317;10;BIBLIOTECA PLURAL;9789974012790
201320;1;FCEFYN;978-950-33-1178-3
201321;1;UNIVERSIDAD NACIONAL  DE CÓRDOBA;978-950-33-11868
201327;1;CENTRO DE DOCUMENTACIÓN E INFORMACIÓN, INSTITUTO DE INVESTIGACIONES GINO GERMANI, FACULTAD DE CIENCIAS SOCIALES, UNIVERSIDAD DE BUENOS AIRES;978-987-3810-14-5
201329;1;IMPRENTA RAGO;978-987-3668-02-9
201340;1;EDIUNS - EDITORIAL DE LA UNIVERSIDAD NACIONAL DEL SUR;978-987-1907-84-7
201342;1;BIBLOS;9789876913300
201348;1;CLACSO;978-987-722-021-6
201356;1;NUEVA EDITORIAL UNIVERSITARIA;9-789877-33010-6
201358;1;PROHISTORIA EDICIONES;0-8436-1072-7
201359;1;ORIENTACIÓN GRÁFICA EDITORA;978-987-1922-11-6
201363;1;EDULPAM;978-950-863-233-3
201365;1;FUNDACIÓN IDR/ DIRECCIÓN GENERAL DE ESCUELAS -GOBIERNO DE MENDOZA/ FACULTAD DE FILOSOFÍA Y LETRAS - UNCUYO;978-950-774-257-6
201367;1;FACULTAD DE CIENCIAS ECONÓMICAS. UNIVERSIDAD NACIONAL DE TUCUMÁN;978-950-554-842-2
201368;1;FAHCE UNLP;978-950-34-1139-1
201369;1;ESTUDIOS SOCIOLÓGICOS EDITORA;978-987-3713-04-0
201370;1;IRI;978-950-34-1156-8
201371;1;: EDICIONES DE LA UNLA;978-987-1987-35-1
201374;1;EDITORIAL BRUJAS;978-987-591-451-3
201376;1;SOCIEDAD ARGENTINA DE ANÁLISIS POLÍTICO;0-8436-1072-7
