producto_id;tipo_parte_libro_id;pais_edicion_id;editorial;isbn;titulo_libro;pagina_inicial;pagina_final
140628;1;1;FNA-INCAA;950-9807-88-5;Historia del cine argentino;;
140629;1;1;FNA-INCAA;950-9807-88-5;Historia del cine argentino;;
140630;1;1;FNA-INCAA;950-9807-88-5;Historia del cine argentino;;
140631;1;1;FNA-INCAA;950-9807-88-5;Historia del cine argentino;;
141143;1;1;ATLANTE;950-9539-47-3;Microbiología biomédica;;
141256;1;1;MINISTERIO DE AGROINDUSTRIA. UNIDAD PARA EL CAMBIO RURAL -UCAR;978-987-1873-41-8;Investigación forestal 2011-2015: los proyectos de investigación aplicada (PIA 10083).;100;1000
156685;1;1;LERNER;9789878483054;CODIGO PROCESAL CIVIL Y COMERCIAL DE LA PROVINCIA DE CORDOBA COMENTADO Y ANOTADO;346;410
160620;1;1;ORIENTACIÓN GRÁFICA EDITORES;978-987-1922-37-6;Enfermedades de cultivos de flor para corte no tradicionales en la Argentina;97;120
165762;1;1;ESTUDIO SIGMA S.R.L.;978-987-46625-4-5;Guias de Diagnóstico y Tratamiento Edición 2021;9;825
165763;1;1;ESTUDIO SIGMA S.R.L.;978-987-46625-4-5;Guias de Diagnóstico y Tratamiento Edición 2021;9;825
168898;1;1;FACULTAD DE FILOSOFÍA Y LETRAS;978-987-8363-47-9;Políticas Sociales y Educativas, entre dos épocas: Abordajes etnográfico-históricos de la relación entre sujetos y Estado;137;166
174232;1;1;EDICIONES DIDOT;9789873620003;La tortura : una práctica estructural del sistema penal, el delito más grave;299;332
176913;1;1;EDITORIAL BIBLOS;978-950-786-956-3;La crisis de sentido en debate. Historicidad, subjetivación y política;;
182786;1;1;UNIVERSIDAD NACIONAL DE LA PLATA;978-950-34-2073-7;Futuros en pugna: protagonismos, dinámicas y sentidos durante el tercer gobierno peronista 1973-1976;349;404
186244;1;1;ALLENDE, PULIAFITO, PANIGATTI EDITORES - UTN;9789504201632;CONTAMINACIÓN ATMOSFÉRICA E HÍDRICA EN ARGENTINA;577;590
186585;1;1;ABELEDO PERROT;978-950-20-3004-3;Tratado de Derechos de Niños, Niñas y Adolescentes. La protección integral de derechos desde una perspectiva constitucional, legal y jurisprudencial. Concordado con el Nuevo Código Civil y Comercial de la Nación;5;26
186755;1;82;BLOOMSBURY PUBLISHING;978-1-4411-4197-2;Encyclopedia of Popular Music of the World;;
187511;1;1;CASA DE LAS LEYES;978-987-3879-00-5;Aportes teóricos a la formación de líderes políticos y comunitarios;233;259
188102;1;82;WILEY-BLACKWELL;978-1-118-94328-1;Small Carnivores: Evolution, Ecology, Behaviour and Conservation;;
188692;1;1;AIQUE GRUPO EDITOR;9789870606581;Metacognición y reflexión;27;40
191284;1;1;FLORA DE CÓRDOBA;950-895-146-X;Flora de Córdoba;;
191285;1;1;FLORA DE CÓRDOBA;950-895-146-X;Flora de Córdoba;;
191286;1;1;FLORA DE CÓRDOBA;950-895-146-X;Flora de Córdoba;;
192549;1;1;FACULTAD DE CIENCIAS MÉDICAS. UNC;0-0000-0000-0;Manual de Medicina Antropológica;1;19
193771;1;1;ABELEDO PERROT;978-950-20-3007-4;Tratado de Derechos de Niñas, Niños y Adolescentes;5;1161
194520;1;1;FLORA DE CÓRDOBA;950-895-146-X;Flora de Córdoba;;
195191;1;21;NORTH CAROLINA DUKE UNIVERSITY PRESS;978-99727184-5-8;History's Bodies. Nation, Gender and Race in Nineteenth-Century Latin American Art: A Reader;;
195302;1;35;WOLTERS KLUWER;978-84-17949-18-1;Inmunología molecular, celular y Traslacional. 2da edición;31;43
195976;1;1;SECRETARÍA DE AMBIENTE Y DESARROLLO SUSTENTABLE DE LA NACIÓN;950-38-0022-6;Manejo de Fauna en la Argentina: Acciones para la Conservación de Especies Amenazadas;289;305
196655;1;7;CONSEJO LATINOAMERICANO DE CIENCIAS SOCIALES;978-987-722-952-3;Jovens Latinoamericanos: Necropolíticas, Culturas Políticas E Urbanidades;76;106
196960;1;1;ATLANTE;978-950-9539-47-1;Microbiologia Biomedica;;
197038;1;1;FFYHF;978-987-760-089-6;Cuadernos de Cátedra Ordia Prima;;
