producto_id;pais_edicion_id;editorial;isbn
201236;1;BRUJAS;978-987-591-301-1
201249;1;EDULP- EDITORIAL UNIVERSIDAD DE LA PLATA;000-000000-0
201319;1;IMPRENTA FACULTAD DE MEDICINA;950-554-325-5
201337;1;UNIVERSIDAD DE BUENOS AIRES, FACULTAD DE CIENCIAS VETERINARIAS;0-8436-1072-7
201362;9;INTERNATIONAL BACCALAUREATE;0-0000-0000-0
201364;1;NUEVA EDITORIAL UNIVERSITARIA;978-987-1852-18-5
201372;21;CREATESPACE;978-1477512623
201384;1;SEDICI-UNLP;978-950-34-0758-5
201441;1;APLICACION;9789871487547
201482;1;ECU;950-746-038-1
201486;1;EDIUNC;
201506;1;FACULTAD DE MEDICINA, UNT;987-43-3336-7
201509;1;UNGS;978-987-630-107-7
201527;1;NUEVA LIBRERÍA;978-987-1871-03-2
201543;1;ERREPAR;978-987-01-1321-8
201553;1;EDITORIAL CALONIA;
201576;1;UNIVERSIDAD NACIONAL DE LA PLATA (EDULP);978-950-34-0885-8
201598;8;IMAGO MUNDI CENTRO DE FORMACIÓN PARA LA INTEGRACIÓN REGIONAL;978-9507-931437
201599;1;CORPUS;9789509030206
201618;1;MINISTERIO DE EDUCACIÓN DE LA NACIÓN-UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO;978-987-630-160-2
201624;1;EDITORIAL BRUJAS;978-987-591-273-1
201630;1;EDIUNJU;978-950-721-376-2
201634;1;ABELEDO PERROT;978-950-20-1770-9
201635;35;EDITORIAL ACADÉMICA ESPAÑOLA;978-3-659-04311-6
201647;1;EDUNLPAM;978-950-863-179-4
201649;515;INTECH PUBLISHER;980-953-307-953-5
201650;1;ADRIANA HIDALGO;978-987-1923-00-7
201651;1;YO SOY GILDA;978-987-28774-1-5
201656;1;UNIVERSIDAD NACIONAL DE CÓRDOBA;978-950-33-0996-4
201664;1;ED. REUN (RED DE EDITORIALES DE UNIVERSIDADES;978-950-863-181-7
201669;1;NUEVO HACER/ GRUPO EDITOR LATINOAMERICANO;978-950-694-896-2
201671;1;EDITORIAL UNIVERSITARIA DE LA UNIVERSIDAD NACIONAL DE MISIONES;978-950-579-266-5
201672;1;REVISTA DEL DEPARTAMENTO DE ESTUDIOS BÁSICOS DE LA FACULTAD DE DERECHO Y CIENCIAS SOCIALES DE LA UNIVERSIDAD NACIONAL DE CÓRDOBA;
201674;1;ESCUELA DE CIENCIAS DE LA INFORMACIÓN.UNIVERSIDAD NACIONAL DE CÓRDOBA;978-987-27545-0-1
201677;1;UNIRIO;978-987-688-021-3
201681;82;ASHGATE;978-1-4094-3186-2
201682;1;LINTA;978-987-1227-07-5
201683;1;ASOCIACIÓN COOPERADORA DE LA FACULTAD DE CIENCIAS MÉDICAS DE LA UNIVERSIDAD NACIONAL DE CUYO;978-987-1980-00-0
201686;1;EDITORIAL DE LA UNIVERSIDAD  DE LA PLATA (EDULP);978-950-34-0716-5
201687;1;EDITORIAL UNLAM;978-987-1635-51-1
201690;1;EUDEBA;9789502319117
201691;1;UNIVERSIDAD NACIONAL DE TUCUMÁN;978-950-554-746-3
201692;1;RED PYMES MERCOSUR;978-987-28637-2-2
201694;31;EDITORIAL ACADÉMICA ESPAÑOLA;978-3-659-05224-8
201696;1;ACADÉMICA ESPAÑOLA;978-3-8473-5114-6
201697;1;FACULTAD DE FILOSFÍA Y LETRAS;9-7898-7178-575-9
201700;1;PURMAMARKA.EDICIONES;978-987-27317-8-6
201704;1;BRUJAS;
201705;1;EDITORIAL ESPARTACO;978-987-27823-1-3
201706;1;CÁTEDRA DE ECOLOGÍA AGRÍCOLA- FACULTAD DE CIENCIAS AGROPECUARIAS- UNC;
201709;1;UNIVERSIDAD NACIONAL DE QUILMES;978-987-1856-39-8
201717;1;IUNA AUDIOVISUALES;978-987-28096-5-2
201736;1;EUDEM;978-987-544-482-9
201737;1;EUDEBA;978-950-23-2015-1
201738;1;UNGS- PROMETEO;978-987-630-200-5
201741;1;NOBUKO;978-987-584-394-3
201743;1;UNIVERSIDAD CATÓLICA DE CUYO;978-987-23890-2-4
201744;1;FUNDACIÓN LA HENDIJA;978-987-1808-23-6
201746;1;UNR EDITORA;978-950-673-953-9
201749;1;UNT - FACULTAD DE FILOSOFÍA Y LETRAS;978-950-554-716-6
201750;1;ENCUENTRO GRUPO EDITOR;978-987-591-301-1
201751;1;NOAGRAF;978-987-33-7214-8
201752;1;FAUDI-UNC;9789871494194
201753;1;MINISTERIO DE DESARROLLO URBANO DEL GOBIERNO DE LA CIUDAD AUTÓNOMA DE BUENOS AIRES;978-987-26328-7-8
201754;1;UNIVERSIDAD NACIONAL DE SALTA (EUNSA);978-987-633-098-5
201755;1;EL AUTOR;978-987-33-0351-7
201756;1;CIENCIA, DERECHO Y SOCIEDAD;978-987-1742-24-0
