producto_id;tipo_parte_libro_id;pais_edicion_id;editorial;isbn;titulo_libro;pagina_inicial;pagina_final
138482;1;570;SAGE;978-81-321-0965-5;International Handbook on Mental Health of Children and Adolescents: culture, policy and practices.;256;274
138483;1;1;CLARIN;;Manual de Maquinaria Agrícola ADMITE Forrajero 2011;120;160
138484;1;1;LIBROS DEL ROJAS. NAUTILUS;9789871862092;DARWIN EN EL SUR, AYER Y HOY. CONTRIBUCIONES DE LA 1ra REUNIÓN DE BIOLOGÍA EVOLUTIVA DEL CONO SUR;70;79
138485;1;21;NOVA SCIENCE PUBLISHERS, INC;978-1-61324-183-7;Food Intake: Regulation, Assessing and Controlling;59;82
138486;1;1;INTA;9789876790185;Valoración de Servicios Ecosistémicos. Conceptos, herramientas y aplicaciones para el ordenamiento territorial.;1;740
138487;1;21;NOVA SCIENCE PUBLISHERS, INC.;978-1-61324-858-4;Circadian Rhythms: Biology, Cognition and Disorders;1;31
138488;1;1;18 CONGRESO GEOLÓGICO ARGENTINO;978-987-22403-3-2;Relatorio del XVIII Congreso Geológico Argentino, Geología y Recursos Naturales de la Provincia de Neuquen;489;528
138489;1;1;SAA;978-987-1280-21-6;Los cazadores-recolectores del extremo oriental fueguino Arqueología de Península Mitre e Isla de los Estados;231;270
138490;1;31;SPRINGER-VERLAG BERLIN;978-94-007-1590-5;Environmental protection strategies for sustainable development;379;386
138491;1;21;NOVA SCIENCE;978-1-61209-226-3;Mycorrhiza: Occurrence and Role in Natural and Restored Environments;148;163
138493;1;515;INTECH;978-953-307-779-6;PLANTS AND ENVIRONMENT;137;164
138494;1;1;SUÁREZ;978-987-544-404-1;Laguna de los Padres y la Brava. Un recurso natural y social para cuidar y compartir;1;1
138495;1;3;SOCIEDAD IBEROAMERICANA DE FISICA Y QUIMICA;978-84-937437-5-8;Residuos solidos en Iberoamerica;228;257
138496;1;82;TAYLOR AND FRANCIS;978-1-4398-0156-7;Applied Semantic Technologies: Using Semantics in Intelligent Information;65;88
138497;1;32;INTERNATIONAL ATOMIC ENERGY AGENCY (IAEA, UN);978-92-0-119610-1;Physical Mapping Technologies for the Identification and Characterization of Mutated Genes Contributing to Crop Quality;97;104
138498;1;1;EUDONNE /CORPUS;978-987-26716-0-0;Manual de Métodos Moleculares en Microbiología;182;183
138499;1;1;CUYO;978-987-27156-0-1;Olivicultura en Mendoza. Raigambre de una actividad que se renueva.;71;89
138501;1;1;ASOCIACIÓN GEOLÓGICA ARGENTINA;978-987-22403-3-2;RELATORIO DEL XVIII CONGRESO GEOLÓGICO ARGENTINO;465;488
138502;1;21;NOVA SCIENCE PUBLISHERS;9781611227307;Bioremediation: Biotechnology, Engineering and Environmental Management;383;404
138503;1;1;EDITORIAL FACULTAD DE AGRONOMÍA –UBA;978-950-29-1334-6;Soja: investigación científico-técnica desarrollada en INBA (CONICET/FAUBA) y en la Facultad de Agronomía de la UBA;3;9
138504;1;515;INTECH;978-953-307-803-8;Herbicides - Properties, Synthesis and Control of Weeds;135;148
138505;1;21;EDITORIAL INTECH.;978-953-51-0229-8;Immunocytochemistry;65;96
138506;1;82;BRITISH ARCHAEOLOGICAL REPORTS (BAR) JOHN HEDGES.;9781407308739;Arqueología de la Puna Argentina: Perspectivas actuales en el estudio de la diversidad y el cambio cultural;33;47
138507;1;21;NOVA PUBLISHERS;978-1-61324-517-0;Bacteriophages in Dairy Processing;253;268
138508;1;82;CAISTER ACADEMIC PRESS;978-1-904455-99-8;Small DNA Tumour Viruses;99;124
138509;1;1;ANDEAN REGION INTERNATIONAL CONFERENCE (ANDESCON), 2012 VI;978-0-7695-4882-1;Avances en Tecnología de Rehabilitación;147;150
138510;1;1;GRUPO TANDILIA 2011;978-987-27154-0-3;Historia y evolucion de los principales grupos de investigación y enseñanza en parasitología veterinaria del Sur de América Latina;62;65
138512;1;3;RECYT / MERCOSUL, UNESCO, CN PQ, MBC, SANGARI DO BRASIL E MCTI;978-85-7652-154-9;Tecnologias para o desenvolvimiento sustentável no Mercosul: edição 2011 do Prêmio Mercosul de Ciência e Tecnologia;85;110
138513;1;1;"PROGRAMA NACIONES UNIDAS PARA EL DESARROLLO - PNUD; MINISTERIO DE TRABAJO, EMPLEO Y SEGURIDAD SOCIAL";978-987-1560-35-6;Multinacionales en la Argentina. Estrategias de empleo, relaciones laborales y cadenas globales de valor;277;304
138514;1;21;CRC PRESS, TAYLOR & FRANCIS GROUP;978-1-4398-3979-9;Melatonin in the Promotion of Health, Second Edition;187;204
138515;1;21;NOVA SCIENCE PUBLISHERS;978-1-61942-233-9;'Rutile: Properties, Synthesis and Applications';159;194
138516;1;41;WILEY AND SONS;978-0-470-12828-2;International Encyclopedia of Composite;2545;2560
138517;1;1;AVES ARGENTINA;978-987-22039-5-5;Inventario de vertebrados de la Reserva Natural Punta Lara;57;70
138518;1;21;STUDIUM PRESS LLC;1-933699-65-5;Soil Allelochemicals;327;346
138519;1;570;RESEARCH SIGNPOST;978-81-7895-504-9;Multidisciplinary Approaches on Food Science and Nutrition for the 21st. Century;155;174
138520;1;10;NORDEN- ED. EL COLECTIVO;978-9974-0-0692-8;Universidad en movimiento. Debates y memorias del X Congreso Iberoamericano de Extensión Universitaria;106;117
138521;1;1;CUENTAHILOS;978-987-25737-5-1;Miradas desde la Quebrada de Humahuaca. Territorios, proyectos y patrimonio.;179;185
138522;1;1;CORPUS;978-987-1860-10-4;Virología Médica;20;25
138523;1;21;NOVA SCIENCE PUBLISHERS;978-1-61470-007-4;Advances in Environmental Research;165;194
138524;1;3;UNIVERSIDAD DE SAN PABLO;978-85-88126-923;TransformaÇoes socio- territoriais nas metropoles de Bs As, Sao Paulo e Santiago;225;242
138525;1;21;TAYLOR & FRANCIS;9781439866894;Carbohydrate Chemistry: Proven Synthetic Methods;291;298
138526;1;1;UNLAM;978-987-1635-23-8;Anuario de investigaciones 2009: resumen extendido;89;93
138527;1;21;NOVA SCIENCE PUBLISHERS INC.;978-1-61324-708-2;Energy Storage;235;312
138528;1;21;NOVA SCIENCE PUBLISHERS, INC.;978-1-61209-916-3;FOOD STORAGE;1;32
138529;1;21;NOVA PUBLISHUERS INC.;978-1-61122-907-3;Lignin: Properties and Applications in Biotechnology;355;380
138530;1;3;CYTED-CNPQ;9788560356072;Leishmanias e a Leishmaniose Tegumentar nas Américas;39;54
138531;1;1;TESEO;978-987-1354-98-6;Infancias, saberes y políticas en la Argentina y Brasil;11;28
138532;1;1;EDITORIAL DE LA FACULTAD DE FILOSOFÍA Y LETRAS UBA;978-987-1785-21-6;Discursos del cuerpo en Roma;7;39
138533;1;1;TREINTADIEZ;978-987-1635-23-8;Anuario de Investigaciones- Resúmenes extendidos 2009.;121;126
138535;1;3;SOCIEDADE BRASILEIRA DE MALACOLOGIA ? SBMA;978-85-61417-01-7;Tópicos em Malacologia.  Ecos do XIX Encontro Brasileiro de Malacologia;21;27
138536;1;21;NOVA SCIENCE PUBLISHERS, INC;978-1-62100-807-1;Angiotensin New research;1;17
138538;1;21;STUDIUM PRESS LLC;1-933699-67-1;Research methods in plant sciences;211;230
138539;1;21;IN TECH;979-953-307-161-8;Genetic Diversity / Book 4;291;308
138540;1;1;FACULTAD DE AGRONOMÍA, UNIVERSIDAD DE BUENOS AIRES;978-950-29-1323-0;Edafología,  Bases y Aplicaciones Ambientales Argentinas;3;628
138541;1;1;ASOCIACIÓN ARGENTINA DE MICROBIOLOGÍA;978-987-26716-0-0;Manual de métodos moleculares para estudios microbiológicos;244;245
138542;1;1;UNIVERSIDAD NACIONAL DE MAR DEL PLATA;978-987-544-404-1;Lagunas de los Padres y La Brava: un recurso natural y social para cuidar y compartir.;1;9
138543;1;1;UNR EDITORA;978-950-673-987-4;V Jornadas de Ciencia y Tecnología. Divulgación de la producción científica y tecnológica de la UNR;42;44
138545;1;-1;STUDIUM PRESS LLC;1-933699-65-5;Soil Allelochemicals;311;325
138546;1;3;CEPESC - UERJ/IMS/LAPPIS;9788589737616;Usuários, redes sociais, mediações e integralidade em saúde;283;290
