producto_id;tipo_parte_libro_id;pais_edicion_id;editorial;isbn;titulo_libro;pagina_inicial;pagina_final
138666;1;21;THE GETTY CONSERVATION INSTITUTE;978-1-60606124-4;Consensus Building, Negotiation, and Conflict Resolution for Heritage Place Management: Proceedings of a Workshop Organized by the Getty Conservation Institute, 1-3 December 2009, Los Angeles: The Getty Conservation Institute.;81;100
138946;1;31;SPRINGER-VERLAG GMBH;978-1-4899-7646-8;"Traditional Foods; General and Consumer Aspects";209;216
138947;1;31;SPRINGER;978-1-4899-7660-4;Functional Properties of Traditional Foods. ISEKI Food Series;107;114
139407;1;35;SERVICIO DE PUBLICACIONES DE MÁLAGA;978-987-05-5381-6;Mujeres, memoria y exilios. Diálogo entre España y Latinoamérica;14;24
139490;1;7;FONDO DE CULTURA ECONÓMICA;978-607-16-3535-8;El jaguar en el Siglo XXI: La Perspectiva Continental;447;478
139519;1;41;JACA BOOK;978-88-16-41370-2;L'Altronovecento. Comunismo eretico e pensiero critico.Vol. 4;235;257
139604;1;21;GORGIAS PRESS;978-1-4632-0570-6;Regenerating Practices in Archaeology and Heritage;107;134
139670;1;35;MUSEU D'ARQUEOLOGIA DE CATALUNYA, CENTRE D'ARQUEOLOGIA SUBAQUÀTICA DE CATALUNYA;978-84-393-9104-3;El vaixell Triunfante: Una fita de la ciència i de la tècnica del segle XVIII;159;171
139705;1;11;MÉDICA PANAMERICANA;978-980-6908-48-2;Cáncer de mama al día;1;579
139711;1;31;SPRINGER-VERLAG;978-94-017-9596-8;The Trace Fossil Record of Major Evolutionary Events.Topics in Geobiology.;301;370
139791;1;3;EDUNICENTRO (UNIVERSIDADE ESTADUAL DO CENTRO-OESTE);978-950-721-336-6;História e Cultura. Identidades e Regiões;;
139874;1;1;UNR;978-987-691-022-4;Religión, Ciencias Sociales y Humanidades;207;230
139881;1;1;ATLANTE;950-953-9-47-3;Microbiología Médica;1;16
140005;1;1;EDUVIM;9789876993104;Conocimientos  y  emancipaciones  desde  el  Sur.;;
140047;1;1;SOCIEDAD ARGENTINA DE ANTROPOLOGÍA (SAA);978-987-1280-29-2;Etnicidad y Migraciones en Argentina;169;195
