producto_id;tipo_parte_libro_id;pais_edicion_id;editorial;isbn;titulo_libro;pagina_inicial;pagina_final
139829;1;1;EDITORAS: B. VENTURA, M. B. CREMONTE Y M.G. ORTIZ;978-1-873671-00-9;Arqueología y Etnohistoria de la vertiente oriental de los Andes de Argentina y Bolivia.;1;11
140314;1;1;EDUVIM;9789871868407;Las mujeres latinoamericanas y sus migraciones;21;48
140504;1;3;ABRH;9788588686298;Water Climate Modeling in Large Basins;1;59
140559;1;1;SOCIEDAD ARGENTINA PARA ESTUDIO DE LOS MAMÍFEROS SAREM;978-987-98497-7-4;Primatology in Argentina;106;125
140640;1;1;ASPHA EDICIONES;978-987-3851-09-4;El poblamiento humano del norte de Neuquén. Estado actual del conocimiento y perspectivas;35;52
140665;1;1;EDITORIAL BIBLOS;978-987-691-389-8;Niñez, regulaciones estatales y procesos de identificación. Experiencias formativas en contextos de diversidad y desigualdad;161;186
140743;1;1;EUDEM;987 544 494 4;Vinculación Tecnológica;1;4
140783;1;21;SCRIVENER PUBLISHING;978-1-119-22362-7;Handbook of Composites from Renewable Materials;337;370
140805;1;21;JOHN WILEY & SONS, INC.;9781119242482;Intelligent Nanomaterials;501;531
140812;1;82;ROUTLEDGE;978-1-000000-00-9;Customs officers or smugglers? Literary translation and cultural mediators in peripheral cultures.;;
140813;1;570;SCRIVENER PUBLISHING - WILEY;978-1-119-22365-8;Handbook of Composites from Renewable Materials;23;60
140822;1;1;BIBLOS;9789876913898;Niñez, regulaciones estatales y procesos de identificación: experiencias formativas en contextos de diversidad y desigualdad social;45;71
140847;1;43;UNIVERSIDA DE MINHO;9788428208383;Cura  e encantamento: rito, mito e psicologia;79;113
140879;1;35;EDITORIAL IBEROAMERICANA VERVUERT;978-84-16922-45-1;El español en la red. Usos y géneros de la comunicación mediada por computadora;203;228
140904;1;1;UNIVERSIDAD NACIONAL DE MAR DEL PLATA;978 987 544-780-6;Ingeniería de Productos Pesqueros;290;300
140942;1;1;EDUP;978-950-34-1554-2;Filosofía de las Ciencias. Hacia los cálidos valles de la epistemología.;69;86
141297;1;1;EDUVIM(EDITORIAL UNIVERSITARIA VILLA MARÍA);978-987-699-345-6;El arte de pedir: antropología de dueños y suplicantes: antropología de dueños y suplicantes;25;58
142333;1;1;UNLAM;978-987-3806-94-0;Manual para el  curso de  Ingreso a Ingeniería 2018;212;354
145086;1;1;BIBLOS;978-987-691-548-9;Diversidad e Integración en el Pensamiento de Nuestra América;237;251
160676;1;1;UNMDP;978987544-780-6;Ingeniería de Productos Pesqueros;35;50
161242;1;1;EDITORIAL UNSJ;978-987-3984-37-2;Estado, Economía y Sociedad en la Provincia de San Juan. Periodo 1976-1989;17;31
161245;1;1;EDITORIAL UNSJ;978-987-3984-37-2;Estado, Economía y Sociedad en la Provincia de San Juan. Periodo 1976-1989;403;420
161325;1;31;FRANZ STEINER VERLAG;978-3-515-10161-5;Handwörterbuch der antiken Sklaverei;1739;1742
164615;1;1;MARTÍNEZ CARRETERO;978-1-873671-00-9;SAN JUAN AMBIENTAL;379;401
165380;1;7;SIGLO XXI;978-607-03-0812-3;Diccionario de Justicia;512;516
165521;1;1;UNIVERSIDAD NACIONAL DE SAN JUAN & FUNDACION ARGENINTA;9789874040329;Flora de San Juan;39;42
165765;1;1;UNIVERSIDAD NACIONAL DE MAR DEL PLATA;987-544-033-7;Resonancias y disonancias de Sarmiento en las Américas;24;39
165852;1;1;UNIVERSIDAD NACIONAL DEL CENTRO DE LA PROVINCIA DE BUENOS AIRES;978-950-658-423-8;Ciencia y comunidad en la conservación de los humedales y su biodiversidad. Tomo 2: Construyendo identidad desde el conocimiento y la acción.;87;125
165997;1;35;ACANTILADO;978-84-16748-15-0;Amor y Filologia;5;20
166148;1;31;SPRINGER VERLAG;978-94-024-1105-8;Climate Change and Human Responses. A Zooarchaeological Perspective;103;119
166250;1;7;SIGLO XXI;978-987-9317-26-6;Diccionario de Justicia;;
168045;1;1;TÍTULO;978-987-3997-04-4;Poderes causales, tropos y otras criaturas extrañas. Estudios de Metafísica Analítica;303;323
172063;1;1;INGRESO;9789873701160;Textos y Contextos Para una Teoría de la Arquitectura;133;145
172879;1;82;GLOBAL LAW AND BUSSINES;9781911078241;Upstream Law and Regulation;337;353
173544;1;7;INSTITUTO DE INVESTIGACIONES FILOSÓFICAS DE LA UNAM;978-84-940241-4-6;La filosofía práctica de Kant;137;172
174665;1;1;EL GALENO LIBROS;978-987-28267-9-6;PATOLOGIA HUMANA;195;208
174775;1;1;SAREM;978-987-98497-7-4;Primatology in Argentina;201;215
174780;1;1;SOCIEDAD ARGENTINA PARA EL ESTUDIO DE LOS MAMIFEROS;978-987-98497-7-4;Primatology in Argentina;235;254
176134;1;1;"CIUDAD AUTÓNOMA DE BUENOS AIRES : NUEVOS TIEMPOS ; AVELLANEDA : UNIVERSIDAD NACIONAL DE AVELLANEDA";978-987-1399-62-8;Neurociencias, salud y bienestar comunitario;161;209
176142;1;7;SIGLO XXI;978-1-873671-00-9;Diccionario de Justicia;;
176584;1;7;12 EDITORIAL- UNIV. DE SAN LUIS DE POTOSÍ- UNIV. DIEGO PORTALES;978-3-16-148410-0;Formación docente en el área de Lenguaje: Experiencias en América Latina;265;294
177113;1;576;PHILRICE;978-971-9081-31-9;Global advances in ecology and management of golden apple snails;1;16
177117;1;1;UNIVERSIDAD NACIONAL DEL LITORAL;978-987-749-058-9;Política, sociedad, instituciones y saberes. Diálogos interdisciplinares e intercontinentales;39;68
177162;1;1;SAREM;987-98497-1-X;La Primatologia en Argenina I;69;85
177322;1;21;WILEY-BLACKWELL;9780080449104;The International Encyclopedia of Geography. People, The Earth, Environment and Technology.;1;5
177891;1;1;BIBLOS;978-987-691-389-8;Niñez, regulaciones estatales y procesos de identificación;187;202
177963;1;1;LITERATURE OF LATIN AMERICA (L.O.L.A);9789871533022;Flora Rioplatense;;
177964;1;1;LITERATURE OF LATIN AMERICA (L.O.L.A);9789871533022;Flora Rioplatense;;
178784;1;1;UNIVERSIDAD DE LA PLATA;978-950-34-15115;Democracia y dictadura : aproximación histórico-constitucional y política en perspectiva de derechos humano;1;100
179872;1;35;EUNSA;978-84-313-2997-6;Figuras de la causalidad en la Edad Media y en el Renacimiento;;
179927;1;7;SIGLO XXI;978-607-03-0812-3;Diccionario de Justicia;337;341
179949;1;1;BIBLOS;978-987-691-389-8;Experiencias formativas, procesos de identificación y regulación social de la infancia;161;186
180027;1;1;BIBLOS;978-987-691-605-9;Medios y retomas: reescrituras y encuentros textuales;233;244
182737;1;3;EDITORIAL DE LA UNIVERSIDAD FEDERAL DE PARANÁ (UFPR);978-1-873671-00-9;Gênero, consumo e espaço doméstico (Argentina E Brasil no século XX);27;61
183146;1;15;FLACSO GUATEMALA;978-9929-585-45-4;La Guerra Fría y el anticomunismo en Centroamérica;215;245
183366;1;1;EDUVIM;978-987-699-345-6;El Arte de Pedir: Antropología de dueños y suplicantes;13;39
183536;1;3;AUTÉNTICA EDITORA;9788551302293;Vocabulario Pierre Bourdieu;350;352
184564;1;1;EDUNTREF;978-987-4151-22-3;Entre la academia y la crítica: la construcción discursiva y disciplinar de la historia del arte - Argentina siglo XX;153;170
184988;1;1;BEATRIZ VENTURA MA BEATRIZ CREMONTE MA GABRIELA ORTIZ, EDITORAS;978-987-1280-32-2;Arqueología y Etnohistoria de la vertiente oriental de los Andes de Argentina y Bolivia;111;134
185741;1;1;INSTITUTO DE INVESTIGACIONES EN DIVERSIDAD Y PROCESOS DE CAMBIO. CONICET-UNRN.;978-1-873671-00-9;Araucanía-Norpatagonia: discursos y representaciones de la materialidad;189;207
185881;1;1;BIBLOS;978-987-691-389-8;Niñez, regulaciones estatales y procesos de identificación;187;202
186014;1;1;UNIVERSIDAD NACIONAL DE LA MATANZA;978-987-3806-93-3;Manual para el curso de ingreso a ingeniería 2018;355;494
186202;1;82;OXFORD UNIVERSITY PRESS;9780199562350;The Oxford Handbook of Historical Archaeology;1;12
186526;1;39;AMSTERDAM UNIVERSITY PRESS/ CHICAGO UNIVERSITY PRESS;978-1-873671-00-9;Shipbuilding and ship repair workers: a global labour history (1950-2010). National overview;457;476
186720;1;21;ROUTLEDGE;978-1-84893-580-8;Property Rights in Land. Issues in social, economic and global history;74;90
186725;1;7;TRILLAS;9789682478420;Calidad de vida en varios países Latinoamericanos;;
186832;1;1;VAZQUEZ MAZZINI EDITORES;978-987-3781-30-8;La costa atlantica de buenos aires;20;41
187133;1;1;EUDEM (EDITORIAL DE LA UNIVERSIDAD NACIONAL DE MAR DEL PLATA);978-987-1921-78-2;El pasado es hoy. Estudios sobre el mal en política;39;69
187362;1;21;CRC PRESS;9781466565944;Drug Delivery: An Integrated Clinical and Engineering Approach;349;371
187490;1;1;IJ EDITORES;978-987-4179-03-6;Filiación y responsabilidad parental en el ámbito internacional;210;230
187491;1;1;IJ EDITORES;978-987-4179-03-6;Filiación y responsabilidad parental en el ámbito internacional;310;330
187492;1;1;IJ EDITORES;978-987-4179-03-6;Filiación y responsabilidad parental en el ámbito internacional;321;340
187676;1;1;CLACSO;978-987-722-218-0;La espacialidad crítica en el pensamiento político-social latinoamericano: nuevas gramáticas de poder, territorialidades en tensión;343;368
187839;1;35;FOC;978-84-15634-44-7;Política, memoria y visualidad en los Siglos XIX y XX.;324;376
