producto_id;tipo_parte_libro_id;pais_edicion_id;editorial;isbn;titulo_libro;pagina_inicial;pagina_final
139866;1;1;EDITORIAL FACULTAD DE AGRONOMÍA;978-987-3738-28-9;Prácticas edafológicas con fines didácticos. 3ra edición;131;147
140007;1;1;EDITORIAL FACULTAD DE AGRONOMÍA;978-987-29338-6-9;PRÁCTICAS EDAFOLÓGICAS CON FINES DIDÁCTICOS;1;9
140348;1;1;EDUVIM;978-987-699-080-6;Confluencia de saberes. Institucionalización de la Música Popular en la Academia;329;350
140664;1;1;CIES;978-987-47661-0-6;?Cambios demográficos y Vulnerabilidad  social;137;160
147019;1;1;EDITORIAL UNIVERSITARIA, SECRETARÍA DE EXTENSIÓN UNIVERSITARIA;978-950-746-206-1;La vida en la cárcel: Intercambios, exclusión y control social 3;9;24
154449;1;21;NOVA SCIENCE PUBLISHERS, INC;978-1-61942-634-4;Telomeres: Biological functions, sequencing and aging.;53;77
161298;1;39;BRILL | SENSE;978-90-04-40855-5;Science Education Research in Latin America;307;324
171584;1;1;HANNE;978-987-1933-31-0;La inmortalidad de nuestras culturas milenarias;5;153
174299;1;21;SPRINGER;978-1-0716-0214-0;Immobilization of Enzymes and Cells;385;394
174835;1;1;RED RIOPLATENSE DE UNIDADES ACADÉMICAS DE TRABAJO SOCIAL;978-950-698-325-3;Debates y proposiciones de Trabajo Social en el Marco del Bicentenario;23;27
175782;1;1;EDICIONES CCC;978-987-1650-83-5;Hacia una pedagogía emancipatoria en Nuestra América. Miradas, experiencias y luchas;1;422
177180;1;82;BRITISH ARCAHEOLOGICAL PRESS;978-1-407313-252;Yachay Wasi. Libro Homenaje a Ian Farrington;;
177920;1;1;MIÑO Y DÁVILA;9789876301909;Tópicos de la teoría evolucionista neoschumpeteriana de la innovación y el cambio tecnológico (vol. 2);;
181589;1;1;UEDEM;978-987-8410-10-4;La política en plural. Investigaciones sociales sobre la política contemporánea;203;233
181618;1;21;SPRINGER;978-3-030-30018-0;Encyclopedia of Global Archaeology;1;3
181666;1;21;CRC PRESS TAYLOR AND FRANCIS;9781138324213;Introduction to Software for Chemical Engineers, Second Edition;681;711
181715;1;1;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE SALTA;978-987-633-511-9;Manual de estudios literarios;134;139
181716;1;1;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE SALTA;978-987-633-511-9;Manual de estudios literarios;140;145
181717;1;1;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE SALTA;978-987-633-511-9;Manual de estudios literarios;146;151
183145;1;1;CLACSO;978-987-722-593-8;Políticas encadenantes: sobre cuerpos y violencia en Centroamérica;15;43
186658;1;1;ATLANTE;950-9539-30-9;Microbiologia Biomédica 3era edición;;
186660;1;1;ATLANTE;950-9539-30-9;Microbiologia Biomédica 3era edición;;
186661;1;1;ATLANTE;950-9539-30-9;Microbiología Biomédica 3era edición;;
186662;1;1;ATLANTE;950-9539-30-9;Microbiologia Biomédica 3era edición;;
186682;1;1;ATLANTE;950-9539-30-9;Microbiología Biomédica 3era edición;;
186813;1;1;RUBINZAL CULZONI;978-987-30-1461-1;Código Civil y Comercial explicado. Doctrina y jurisprudencia;825;841
189337;1;1;FACULTAD DE FILOSOFÍA Y LETRAS (UBA);978-987-3617-80-5;Sobre un camino de hierro: historia y relatos ferroviarios;27;38
189921;1;1;CENTRO DE INVESTIGACIONES Y ESTUDIOS SOBRE CULTURA Y SOCIEDAD;978-987-47661-0-6;Cambios demográficos y vulnerabilidad social;1;264
190200;1;3;EDITORA UNIJUÍ DA UNIVERSIDADE REGIONAL  DO NOROESTE;978-65-86074-37-6;Questões epistemológicas para a Ciência da Informação: possibilidades e contribuições;237;258
190321;1;82;OXFORD BROOKES UNIVERSITY;9780521564229;Encyclopedia of Vernacular Architecture of the World;;
192228;1;1;CONICET - UNC;978-987-47661-0-6;Cambios demográficos y vulnerabilidad social;1;26
192229;1;1;CONICET - UNC;978-987-47661-0-6;Cambios demográficos y vulnerabilidad social;1;28
192235;1;1;TINTA LIBRE;978-987-708-173-2;Enfermeria en Cardiologia Ser Especialista;1;583
193023;1;82;LONDRES;950-29-0919-4;Pictures from an Expedition;;
193388;1;1;EDUNTREF;978-987-1985-33-3;Atracción fatal. Relatos del cristianismo peronista (1943-2014);;
194076;1;1;FCE/EDUNTRESF;978-987-691-331-7;Diccionario del Primer Peronismo, 1943-1955;123;126
194275;1;1;TESEO;9789877230437;Salud Mental y Niñez en la Argentina. Legislaciones, políticas y prácticas;233;249
195375;1;1;EDITORIAL INTERMÉDICA;978-950-555-474-4;Microbiología Veterinaria / Nestor Stanchi;241;261
195412;1;1;EDHASA;978-987-574-806-4;Federico Lorenz (editor), Argentina: los lugares de la memoria;;
196374;1;1;ATLANTE;950-9539-47-3;Microbiología Biomédica;;
197404;1;1;UNIPE;978-987-3805-45-5;Hacer posible la escuela. Vínculos generacionales en la secundaria;9;58
198787;1;1;UNQUI-UNLA-UNGS;978-987-630-461-0;Recicloscopio VI;45;71
