producto_id;pais_edicion_id;editorial;isbn
201596;1;UNIVERSIDAD NACIONAL DEL LITORAL;978-987-749-255-2
325051;39;SPRINGER;0-0000-0000-0
330100;1;EDICIONES IUPFA;0-8436-1072-7
368861;35;BIBLIOTECA NUEVA;978-849742-908-5
387667;1;EDICIONES UNGS;0-8436-1072-7
387985;1;UNIVERSIDAD NACIONAL DE LA PLATA;978-1-873671-00-9
391264;1;EUDEM;978-987-4440-03-7
397612;21;ROUTLEDGE;0-0000-0000-0
397890;1;SPRINGER;978-3-030-29680-3
403336;1;EUFYL - FFYL;978-950-0533-07-2
404973;82;BLOOMSBURY;9781350084636
405243;1;UNIRÍO;0-0000-0000-0
406328;1;UNRC;0-8436-1072-7
407602;21;CRC-PRESS;978-113-839-163-5
410042;1;EDUNTREF;0-0000-0000-0
415138;1;MAIPUE;978-987-8321-57-8
415366;82;BLOOMSBURY T & T CLARK;978-0-56768-656-5
420771;1;EDULP;0-0000-0000-0
420801;1;PAIDÓS;9-9999-9999-9
425432;39;BRILL;0-8436-1072-7
425440;21;CRC TAYLOR&FRANCIS;978-1-138-56939-3
426600;1;UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO Y UNIVERSIDAD FEDERAL DE MINA GERAIS;9-7898-7630-0
426604;1;UNIVERSIDAD NACIONAL DE LA PLATA;978-950-34-1175-9
428495;1;EDITORIAL UNIVERSITARIA DE LA UNIVERSIDAD NACIONAL DE LUJÁN // MOCASE-VC;978-987-27759-6-4
428517;1;VMEDITORES;9789871699438
430350;1;EDUNTREF;978-9871013579
430823;1;DEL CASTILLLO;978-987-1644-19-3
431062;1;BIBLOS;978-987-691-194-8
431537;1;BIBLOS;978-987-691-900-5
431538;21;SPRINGERNATURE;0-0000-0000-0
433218;1;GALERNA;9789505567492
433272;1;LGOS KALÓS. ASTREA;9789874716910
433439;3;UNIVERSIDA BRASILIA;978-85-444-0615-1
433947;35;EDITORIAL ACADÉMICA ESPAÑOLA;6200038384
434391;35;EDITORIAL ACADEMICA ESPAÑOLA (AEA);978-620-0-01085-8
434577;1;TRAMA;987-9139-31-3
434752;1;CIPPEC;978-1-783478835
434989;1;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE LA PLATA (EDULP);978-987-8348-22-3
434996;31;LANDBAUFORSCHUNG VÖLKENRODE SONDERHEFT 287;3-86576-010-4
435132;35;EDITORIAL ACADÉMICA ESPAÑOLA;978-620-0-36754-9
435283;35;"EDITORIAL ACADEMICA ESPA;OLA EAE";978-613-9-43277-6
435287;1;UNIVERSIDAD NACIONAL DE SAN JUAN, 2019. LIBRO DIGITAL, PDF [ET AL.] EDITORIAL FUNDACIÓN UNIVERSIDAD NACIONAL DE SAN JUAN (EFU);978-950-605-895-1
435702;1;LUKAR;978-987-86-2934-6
435804;1;UNIVERSITARIA DE LA PATAGONIA;978-987-8352-06-0
435929;1;MÉDICA PANAMERICANA;9789500695626
436225;1;NEU;978-987-733-092-2
436226;1;NEU;978-987-733-184-4
436375;1;ABELEDO PERROT;978-950-20-2790-6
436475;31;SPRINGER INTERNATIONAL PUBLISHING;978-3-319-56797-6
436575;1;DISEÑO;9781643602769
436578;1;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE ENTRE RÍOS;0-8436-1072-7
437152;1;UNIVERSIDAD NACIONAL DE MAR DEL PLATA, EDITORIALLARA Y OTROS;978-987-544-901-5
437154;35;EDITORIAL ACADÉMICA ESPAÑOLA;978-613-9-46941-3
437155;1;EDITORIAL UNIVERSITARIA;978-987-733-178-3
437162;1;EL TABAQUILLO;978-987-733-213-1
437324;1;EDITORIAL MEDICA PANAMERICANA;9788499763866
437327;1;CUADERNOS DEL ISCO - EDITORIAL DE LA UNIVERSIDAD NACIONAL DE LANÚS;978-987-4937-49-0
437578;1;COMITÉ EDITOR INSTITUTO DE HISTORIA EL ARTE;978-950-774-386-3
437579;1;COMITÉ EDITOR INSTITUTO DE HISTORIA EL ARTE;978-950-774-385-6
437580;1;COMITÉ EDITOR INSTITUTO DE HISTORIA EL ARTE;978-950-774-383-2
437581;1;COMITÉ EDITOR INSTITUTO DE HISTORIA EL ARTE;978-950-774-384-9
437582;1;COMITÉ EDITOR INSTITUTO DE HISTORIA EL ARTE;978-950-774-381-8
437583;1;COMITÉ EDITOR INSTITUTO DE HISTORIA EL ARTE;978-950-774-382-5
437584;1;TESEO;978-987-86-3345-9
437589;1;NUEVA EDITORIAL UNIVERSITARIA;978-987-733-214-8
437590;1;NUEVA EDITORIAL UNIVERSITARIA.UNSL;978-987-733-215-5
437591;1;NUEVA EDITORIAL UNIVERSITARIA;978-987-733-216-2
437592;1;NUEVA EDITORIAL UNIVERSITARIA;978-987-733-217-9
437722;1;BIBLOS;978-987-691-369-0
437724;1;UNIVERSIDAD NACIONAL DE LA MATANZA;978-987-4417-58-9
437864;39;EDITORIAL ACADÉMICA ESPAÑOLA;978-620-0-37647-3
438048;1;SABERES ASOCIACIÓN CIVIL;978-987-47514-0-9
438053;1;EDUTCNE;978-987-4998-39-2
438062;1;UNIVERSIDAD NACIONAL DE VILLA MARÍA;978-987-4993-24-3
438063;1;BIBLOS;978-987-691-782-7
438271;1;FCE;978-987-42-2271-8
438272;1;FCE;978-987-33-8118-8
438273;1;UNIRIO;978-987-688-323-8
438278;1;TESEO;9789877232318
438280;1;RICARDO VERGARA;9789873630781
438570;1;EDICIONES UNL;978-987-749-203-3
438571;1;LABORDE EDITOR;9789876770880
438583;35;EDITORIAL ACADEMICA ESPAÑOLA;9786200058607
438889;1;EDICIONES PAIDÓS;978-950-12-9894-9
438892;7;EDITORIAL RESISTENCIA SA DE CV;978-607-8583-11-9
439117;35;TIRANT LO BLANCH;978-84-1336-440-7
439125;82;CABI;9781789242430
439480;1;UNIVERSIDAD NACIONAL DE QUILMES;978-987-558-634-5
439489;1;UNIVERSIDAD ADVENTISTA DEL PLATA;978-987-765-033-4
439490;3;CASA PUBLICADORA BRASILEIRA;978-85-345-2673-9
439491;3;CASA PUBLICADORA BRASILEIRA;978-85-345-2673-9
439492;1;UNIVERSIDAD ADVENTISTA DEL PLATA;978-987-765-015-0
439752;1;UNIVERSIDAD DE MORÓN.;978-987-3977-93-0
439770;1;EDITORIAL: EDICIONES PAIDÓS;978-950-12-9827-7
439771;1;PAIDOS;9789501253528
439935;39;AMSTERDAM UNIVERSITY PRESS;9789463725903
439941;4;EDITORIAL LASALLITA;978-958-8406-29-9
440073;1;UNIVERSIDAD NACIONAL DE MAR DEL PLATA;978987 544 908-4
440286;1;EDICON;9789877411058
440292;1;VAZQUEZ MASSINI EDITORES;978-987-9132-61-6
440300;21;IGI GLOBAL;9781799824442
440302;1;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE QUILMES;978-987-558-623-9
440304;1;BALTASARA EDITORA;978-9873905-48-3
440309;1;TESIS DOCTORAL CON MENCIÓN DE PUBLICACIÓN;0-0000-0000-0
440310;1;EDICIONES COOPERATIVAS;978-987-652-213-7
440546;21;NOVA SCIENCE PUBLISHERS, INC.;978-1-53616-650-7
440767;1;IHLLA - ECOSISTEMAS;978-950-658-494-8
440768;1;EDITORIAL DE LA UNIVERSIDAD NACIONAL DE QUILMES;978-987-558-624-6
440770;1;REVÉS DE LA TRAMA;978-987-46806-3-1
440773;1;EDIUNJU;978-950-721-516-2
440775;1;THOMSON REUTERS - LA LEY;978-987-03-3896-3
441032;45;FRONTIERS MEDIA;978-2-88919-118-5
441046;1;BRUJAS;978-987-86-3131-8
441210;1;DISEÑO;978-1-64360-280-6
441354;1;EDULP;978-950-34-1036-3
441484;1;BRUJAS;978-987-86-3131-8
441486;1;"LA PLATA: UNIVERSIDAD NACIONAL DE LA PLATA. FACULTAD DE HUMANIDADES Y CIENCIAS DE LA EDUCACIÓN; POSADAS: UNIVERSIDAD NACIONAL DE MISIONES; LOS POLVORINES: UNIVERSIDAD NACIONAL DE GENERAL SARMIENTO";9789876304320
441795;1;-;0-8436-1072-7
441799;1;UNLP;978-987-4127-89-1
442187;1;NOVEDUC;978-987538-747-8
442188;1;UNR EDITORA;978-987-702-383-1
442306;1;AGRO-VET;950-9763-01-2
442334;3;ELUCIDARE;978-85-54220-15-0
442423;1;CENTRO DE ARQUEOLOGÍA URBANA, IAA, FADU, UBA;9789877832358
442514;1;INTA EDICIONES;0-0000-0000-0
442614;4;CLACSO;978-607-8671-15-1
442618;1;UNIVERSIDAD NACIONAL DE QUILMES;978-987-558-650-5
443050;1;PATRIMONIO CULTURAL.CÁTEDRA UNESCO DE TURISMO CULTURAL UNTREF AAMNBA;978-98786-2082-4
443051;35;EDITORIAL ACADÉMICA ESPAÑOLA;6139401860
443138;1;EDUVIM;978-987-699-332-6
443142;1;PLATT GROUP IMPRESOR;9789872766900
443236;509;EDITORIAL ACADÉMICA ESPAÑOLA;978-620-0-37899-6
443295;1;LA COLMENA;978-987-47585-1-4
443388;1;SECRETARÍA DE ADICCIONES - MINISTERIO DE SALUD DE CÓRDOBA;978-987-86-3346-6
443392;1;TESEO;9789877232240
443589;1;NUEVA GESTION;9789874586001
443628;35;EDITORIAL ACADÉMICA ESPAÑOLA, INTERNATIONAL BOOK MARKET SERVICE LTD. BRIVIBAS GATVE 197, LV-1039, RIGA, LETONIA, UNIÓN EUROPEA;978-620-0-38379-2
443784;1;ASTREA;978-987-706-264-9
443785;1;MAIPUE;978-987-8321-11-0
443786;1;EDULP;9789874127600
443905;1;FUNDACIÓN CUIDAD;978-987-1032-12-9
443906;1;MINISTERIO DE EDUCACIÓN DE LA NACIÓN;978-950-00-0607-1
444009;35;PSIMATICA.COM;8494871277
444053;1;PANAMERICANA;9789500695381
444268;1;EUDENE. UNIVERSIDAD NACIONAL DEL NORDESTE. ARGENTINA;978-987-3619-53-3
444529;1;TESEO;9789878634111
444628;1;ASTREA;0-8436-1072-7
444701;39;ELSEVIER;978-0-444-64125-0
444752;1;EDULP;978-950-34-1774-4
444900;1;EDITORIAL EDUCO;978-987-604-536-0
444901;1;ORGANIZACIÓN DE ESTADOS IBEROAMERICANOS PARA LA EDUCACIÓN;978-987-3753-66-4
444906;1;EDULP;978-987-8348-24-7
445209;1;UNICEF FLACSO;978-950-9379-47-3
445216;35;EDITORIAL ACADEMICA ESPAÑOLA;978-620-0-39047-9
445226;1;EDITORIAL  UNIVERSIDAD NACIONAL DE TUCUMÁN (EDUNT);978-987-1881-56-7
445321;1;COMUNIC ARTE;978-987-602-436-5
445579;1;ARTES GRÁFICAS;978-987-42-6321-6
446043;1;EDUTECNE;978-987-4998-30-9
446044;1;ABACO DE RODOLFO DEPALMA;0000000000
446187;35;BOSCH EDITOR;978-84-121579-9-4
446192;1;TOPOS, EDITORIAL DEL IPEHCS;978-987-47157-0-8
446195;1;UNIRIO;978-987-688-394-8
446202;1;JUAN ANDR¨¦S DAHLQUIST;9789878617046
446318;3;EDITORIAL FI;978-85-66923-76-6
446465;1;MINISTERIO SALUD CABA;978-987-24004-7-7
446466;1;MINISTERIO SALUD CABA;978-987-24004-9-1
446664;1;MIÑO Y DÁVILA;978-987-47358-4-3
446666;45;SPRINGER;978-3-030-42817-4
446672;1;DISEÑO EDITORIAL;978-1-64360-286-8
446753;82;IWA PUBLISHING;9781780402796
446755;1;MINISTERIO DE LA PRODUCCIÓN;978-950-43-1447-9
446826;3;PUCPRESS;9788554945022
446854;1;FACULTAD DE HUMANIDADES-UNIVERSIDAD NACIONAL DE MAR DEL PLATA;978-987-544-750-9
